idооposicionооnombreооcodfichero
477оо15ооReadOnlyооFacturas de clienteоож
478оо16ооFEnvооFacturas de clienteоож
479оо17ооFPagооFacturas de clienteоож
480оо18ооPortsPagatsооFacturas de clienteоож
481оо19ооDataOperооFacturas de clienteоож
482оо20ооComanda
ооFacturas de clienteоож
843оо0ооCODIооArticulosоож
844оо1ооINCREMооArticulosоож
845оо2ооNOMооArticulosоож
846оо3ооFAMILIAооArticulosоож
847оо4ооPROVEIDORооArticulosоож
848оо5ооREFERENCIAооArticulosоож
849оо6ооMINIMооArticulosоож
850оо7ооUBICACIOооArticulosоож
851оо8ооQUANTITATооArticulosоож
852оо9ооUNITSCONTооArticulosоож
853оо10ооCOSTMITJAооArticulosоож
854оо11ооPREUCOSTооArticulosоож
855оо12ооPV1ооArticulosоож
856оо13ооPV2ооArticulosоож
857оо14ооPV3ооArticulosоож
858оо15ооDARR_COMPRооArticulosоож
859оо16ооDARR_VENDAооArticulosоож
860оо17ооTIPUS_IVAооArticulosоож
861оо18ооPREUAMBIVAооArticulosоож
862оо19ооUNITATооArticulosоож
863оо20ооDESC_MAXооArticulosоож
864оо21ооCOMIS1ооArticulosоож
865оо22ооCOMIS2ооArticulosоож
866оо23ооCOMIS3ооArticulosоож
867оо24ооNOTUPDATESооArticulosоож
868оо25ооCOMPONENTSооArticulosоож
869оо26ооDATAALTAооArticulosоож
870оо27ооNOTESооArticulosоож
871оо28ооCCOMPTABLEооArticulosоож
872оо29ооIMATGE
ооArticulosоож
873оо0ооFAM_ZIPооFamiliasоож
874оо1ооFAM_DESCRооFamiliasоож
875оо2ооFAM_DISCооFamiliasоож
876оо3ооFAM_INCR
ооFamiliasоож
877оо0ооFP_ZIPооFormas de pagoоож
878оо1ооFP_DESCRооFormas de pagoоож
879оо2ооFP_INCR
ооFormas de pagoоож
880оо0ооCODIооAgentesоож
881оо1ооINCREMооAgentesоож
882оо2ооNOMооAgentesоож
883оо3ооNOM_FISCALооAgentesоож
884оо4ооCONTACTEооAgentesоож
885оо5ооDOMICILIооAgentesоож
886оо6ооPOBLACIOооAgentesоож
887оо7ооC_POSTALооAgentesоож
888оо8ооPROVINCIAооAgentesоож
889оо9ооTELEFONооAgentesоож
890оо10ооTELEFON2ооAgentesоож
891оо11ооTELEFAXооAgentesоож
892оо12ооEMAILооAgentesоож
893оо13ооTERMINIооAgentesоож
894оо14ооCOMPTEооAgentesоож
895оо15ооCCOMPTABLEооAgentesоож
896оо16ооFORMA_PAGооAgentesоож
897оо17ооBANCооAgentesоож
898оо18ооDIAPAG1ооAgentesоож
899оо19ооDIAPAG2ооAgentesоож
900оо20ооLASTINVDATооAgentesоож
901оо21ооNIFооAgentesоож
902оо22ооCOMISSIOооAgentesоож
903оо23ооNOTESооAgentesоож
904оо24ооDATAALTAооAgentesоож
905оо25ооDIAPAG3ооAgentesоож
906оо26ооWEBSITEооAgentesоож
907оо27ооTELEFON3ооAgentesоож
908оо28ооTELEFON4ооAgentesоож
909оо29ооPAISооAgentesоож
910оо30ооIDIOMAооAgentesоож
911оо31ооADVERTооAgentesоож
912оо32ооRAMооAgentesоож
913оо33ооVACANCESооAgentesоож
914оо34ооINACTIU
ооAgentesоож
927оо1ооNumооAlbaranes de clientesоож
928оо2ооFactооAlbaranes de clientesоож
929оо3ооClientооAlbaranes de clientesоож
930оо4ооAgentооAlbaranes de clientesоож
931оо5ооDataооAlbaranes de clientesоож
932оо6ооHoraооAlbaranes de clientesоож
933оо7ооComandaооAlbaranes de clientesоож
934оо8ооVencimentооAlbaranes de clientesоож
935оо9ооDescompteооAlbaranes de clientesоож
936оо10ооTextLliure
ооAlbaranes de clientesоож
980оо1ооAlbaraооLineas de albaranes y facturasоож
981оо2ооOrdreооLineas de albaranes y facturasоож
982оо3ооFacturaооLineas de albaranes y facturasоож
983оо4ооClientооLineas de albaranes y facturasоож
984оо5ооDataооLineas de albaranes y facturasоож
985оо6ооCodiArticleооLineas de albaranes y facturasоож
986оо7ооNomArticleооLineas de albaranes y facturasоож
987оо8ооQuantitatооLineas de albaranes y facturasоож
988оо9ооPreuCostооLineas de albaranes y facturasоож
989оо10ооPreuLlistaооLineas de albaranes y facturasоож
990оо11ооDescompteооLineas de albaranes y facturasоож
991оо12ооPreuRealооLineas de albaranes y facturasоож
992оо13ооIVAооLineas de albaranes y facturasоож
993оо14ооREооLineas de albaranes y facturasоож
994оо15ооComissioооLineas de albaranes y facturasоож
995оо16ооPres
ооLineas de albaranes y facturasоож
